Preco,Preco_Predito,Erro,Erro_Absoluto
7213,7394,-181,181
7370,2904,4466,4466
5959,5604,355,355
10976,11531,-555,555
8781,8770,11,11
26971,43969,-16998,16998
18669,17608,1061,1061
4547,4516,31,31
4547,2226,2321,2321
29793,9773,20020,20020
58018,59902,-1884,1884
2200,11658,-9458,9458
7997,9479,-1482,1482
26657,34015,-7358,7358
20266,18106,2160,2160
5175,4554,621,621
549,2899,-2350,2350
50805,19066,31739,31739
1725,3911,-2186,2186
16935,16211,724,724
17249,19279,-2030,2030
18817,18413,404,404
40769,35841,4928,4928
14269,3978,10291,10291
39201,100006,-60805,60805
17249,18927,-1678,1678
137885,95396,42489,42489
2800,4086,-1286,1286
17562,16148,1414,1414
4861,4876,-15,15
9408,4974,4434,4434
3293,1834,1459,1459
2274,3038,-764,764
48998,44014,4984,4984
32929,31724,1205,1205
14454,17717,-3263,3263
10036,7486,2550,2550
,5252,,
15053,18409,-3356,3356
46251,46733,-482,482
,7825,,
784,2676,-1892,1892
549,1964,-1415,1415
100,9939,-9839,9839
706,3745,-3039,3039
13172,4353,8819,8819
15681,13520,2161,2161
11604,13134,-1530,1530
6743,7411,-668,668
7213,8862,-1649,1649
3763,4441,-678,678
31361,30123,1238,1238
17249,17102,147,147
24462,22764,1698,1698
16308,17634,-1326,1326
39201,27190,12011,12011
30282,36348,-6066,6066
1411,1544,-133,133
2587,6296,-3709,3709
157,3612,-3455,3455
11290,14478,-3188,3188
6899,6286,613,613
30,6742,-6712,6712
10349,12665,-2316,2316
39750,44051,-4301,4301
28927,23439,5488,5488
627,3443,-2816,2816
5018,7320,-2302,2302
10036,19563,-9527,9527
23834,20947,2887,2887
392,8036,-7644,7644
52066,52167,-101,101
12858,16314,-3456,3456
3293,5695,-2402,2402
21326,18397,2929,2929
5959,4283,1676,1676
5645,6316,-671,671
16621,15742,879,879
784,3637,-2853,2853
38260,32895,5365,5365
17719,19117,-1398,1398
30082,31023,-941,941
23521,2820,20701,20701
3136,2735,401,401
16621,15507,1114,1114
16151,18043,-1892,1892
8781,7181,1600,1600
9408,7587,1821,1821
4861,8251,-3390,3390
47042,11544,35498,35498
26500,34650,-8150,8150
7850,7865,-15,15
13172,11796,1376,1376
13172,17309,-4137,4137
470,2688,-2218,2218
549,2054,-1505,1505
18817,13766,5051,5051
12858,15023,-2165,2165
30,6738,-6708,6708
18817,23710,-4893,4893
18817,32322,-13505,13505
14897,20691,-5794,5794
314,1537,-1223,1223
29774,35917,-6143,6143
29793,23073,6720,6720
34497,30298,4199,4199
20385,21430,-1045,1045
12544,14915,-2371,2371
6272,11990,-5718,5718
157,4778,-4621,4621
35752,32998,2754,2754
17249,13484,3765,3765
627,3119,-2492,2492
2666,4714,-2048,2048
18033,27740,-9707,9707
392,3079,-2687,2687
20071,44032,-23961,23961
14426,14161,265,265
1019,1668,-649,649
549,3036,-2487,2487
64290,43717,20573,20573
150,3873,-3723,3723
392,3505,-3113,3113
28438,42200,-13762,13762
12388,5912,6476,6476
16621,16616,5,5
627,3529,-2902,2902
15053,19004,-3951,3951
100,13121,-13021,13021
8311,16268,-7957,7957
220,2039,-1819,1819
6500,6463,37,37
282,8710,-8428,8428
9722,10641,-919,919
,15856,,
862,10337,-9475,9475
7997,5548,2449,2449
25889,21029,4860,4860
16935,17598,-663,663
60213,54041,6172,6172
2038,9312,-7274,7274
57990,44485,13505,13505
43655,41601,2054,2054
23521,4937,18584,18584
,3053,,
50,8291,-8241,8241
24386,23664,722,722
,51197,,
19130,17489,1641,1641
18817,15081,3736,3736
220,4939,-4719,4719
21316,20098,1218,1218
8781,11238,-2457,2457
22000,13346,8654,8654
10036,7971,2065,2065
,31417,,
8781,8179,602,602
314,2731,-2417,2417
2744,4609,-1865,1865
7527,4657,2870,2870
14113,20337,-6224,6224
16621,8488,8133,8133
15053,12633,2420,2420
31047,31089,-42,42
157,11874,-11717,11717
1000,4946,-3946,3946
7997,3299,4698,4698
6899,9794,-2895,2895
15681,14753,928,928
18189,17015,1174,1174
16621,17840,-1219,1219
43278,36803,6475,6475
11447,9060,2387,2387
,3726,,
70562,34312,36250,36250
40,5076,-5036,5036
15994,14088,1906,1906
54926,28561,26365,26365
,38002,,
13589,19488,-5899,5899
4500,2710,1790,1790
392,1497,-1105,1105
41340,25179,16161,16161
47669,16927,30742,30742
10036,6450,3586,3586
784,3169,-2385,2385
6,30256,-30250,30250
,19624,,
2666,4100,-1434,1434
11917,5034,6883,6883
13172,10242,2930,2930
29122,31968,-2846,2846
29583,36366,-6783,6783
6272,10494,-4222,4222
9408,18313,-8905,8905
125,2705,-2580,2580
9095,7957,1138,1138
29793,38298,-8505,8505
7840,19455,-11615,11615
18900,14606,4294,4294
,7277,,
470,12133,-11663,11663
706,1320,-614,614
2666,23567,-20901,20901
21326,18767,2559,2559
,15575,,
3136,3085,51,51
17249,17833,-584,584
23834,21841,1993,1993
15681,15953,-272,272
48610,42762,5848,5848
46223,47209,-986,986
13172,10886,2286,2286
15994,6031,9963,9963
314,1537,-1223,1223
20071,14694,5377,5377
3763,3420,343,343
470,10315,-9845,9845
24148,31127,-6979,6979
,16626,,
17249,7496,9753,9753
4234,5007,-773,773
12544,29261,-16717,16717
13172,13254,-82,82
25089,30719,-5630,5630
1019,4135,-3116,3116
44134,45107,-973,973
12639,14592,-1953,1953
11917,7465,4452,4452
13793,16270,-2477,2477
314,16306,-15992,15992
21639,33373,-11734,11734
45734,45589,145,145
7527,8463,-936,936
39578,41024,-1446,1446
16599,17473,-874,874
22266,3204,19062,19062
23204,20792,2412,2412
1882,4045,-2163,2163
392,524,-132,132
10036,9593,443,443
28225,21195,7030,7030
32302,9674,22628,22628
784,2476,-1692,1692
627,1608,-981,981
93079,93346,-267,267
17562,20514,-2952,2952
23521,25355,-1834,1834
28852,25019,3833,3833
7213,5224,1989,1989
,32344,,
58018,27309,30709,30709
49864,15269,34595,34595
26594,28332,-1738,1738
16308,9188,7120,7120
27065,22911,4154,4154
37633,36158,1475,1475
94,12724,-12630,12630
4234,7459,-3225,3225
11604,14626,-3022,3022
20385,16827,3558,3558
12544,16896,-4352,4352
23060,43588,-20528,20528
13150,13242,-92,92
38894,43838,-4944,4944
16308,16458,-150,150
1646,4072,-2426,2426
157,2678,-2521,2521
20385,26439,-6054,6054
7840,6353,1487,1487
17249,17323,-74,74
2979,3758,-779,779
9095,14754,-5659,5659
9832,10145,-313,313
10976,16260,-5284,5284
20266,22325,-2059,2059
21012,20021,991,991
11917,15327,-3410,3410
4783,8741,-3958,3958
8154,8611,-457,457
38737,24403,14334,14334
36636,38678,-2042,2042
19243,18683,560,560
80958,93602,-12644,12644
10036,14849,-4813,4813
7213,10197,-2984,2984
5328,8190,-2862,2862
15367,13292,2075,2075
17710,16025,1685,1685
24462,24601,-139,139
4200,7457,-3257,3257
44219,42241,1978,1978
37984,42025,-4041,4041
45160,35754,9406,9406
12529,17302,-4773,4773
23207,23133,74,74
,32905,,
15053,18687,-3634,3634
470,2638,-2168,2168
19444,21019,-1575,1575
2500,6274,-3774,3774
22737,21858,879,879
11604,7487,4117,4117
48296,40329,7967,7967
39891,33122,6769,6769
10192,15756,-5564,5564
1411,2209,-798,798
20071,16131,3940,3940
9408,5946,3462,3462
314,3308,-2994,2994
1803,5236,-3433,3433
33500,31362,2138,2138
20698,20433,265,265
11290,8939,2351,2351
16308,16756,-448,448
30,7508,-7478,7478
,3783,,
,5525,,
15210,14793,417,417
2500,5939,-3439,3439
25299,22036,3263,3263
3450,4716,-1266,1266
39201,39117,84,84
7840,5756,2084,2084
15612,13811,1801,1801
18531,17783,748,748
30734,29354,1380,1380
9879,3962,5917,5917
,35797,,
29793,18455,11338,11338
14113,16086,-1973,1973
37633,70229,-32596,32596
26064,31058,-4994,4994
11290,9732,1558,1558
,5043,,
13877,15639,-1762,1762
12544,13821,-1277,1277
5175,5707,-532,532
13485,14483,-998,998
392,4260,-3868,3868
3763,4925,-1162,1162
19,19143,-19124,19124
1725,5058,-3333,3333
18189,18171,18,18
26030,24617,1413,1413
2509,2231,278,278
15500,29522,-14022,14022
27591,33077,-5486,5486
30006,24493,5513,5513
14113,20337,-6224,6224
20698,30509,-9811,9811
1333,5370,-4037,4037
1176,1643,-467,467
78403,27578,50825,50825
19676,42684,-23008,23008
7500,8139,-639,639
30420,14842,15578,15578
41281,45223,-3942,3942
74639,57489,17150,17150
,5322,,
17942,14883,3059,3059
392,1422,-1030,1030
,10723,,
50178,16654,33524,33524
16935,16868,67,67
2352,3361,-1009,1009
27463,18618,8845,8845
8000,9603,-1603,1603
157,7210,-7053,7053
18189,25900,-7711,7711
800,2913,-2113,2113
35,8934,-8899,8899
862,6052,-5190,5190
43905,36323,7582,7582
21326,22690,-1364,1364
18045,27009,-8964,8964
29479,23346,6133,6133
14426,20175,-5749,5749
8154,6322,1832,1832
116036,77107,38929,38929
862,1674,-812,812
18189,16285,1904,1904
314,1537,-1223,1223
43000,34083,8917,8917
14426,10504,3922,3922
,4292,,
19757,22117,-2360,2360
2744,13929,-11185,11185
11704,10733,971,971
7683,5847,1836,1836
17249,22721,-5472,5472
9565,6903,2662,2662
26971,28231,-1260,1260
10036,9925,111,111
15681,10075,5606,5606
45633,36712,8921,8921
784,1519,-735,735
4077,6081,-2004,2004
784,6341,-5557,5557
10192,5143,5049,5049
50,9273,-9223,9223
150,24172,-24022,24022
7527,7842,-315,315
11917,8856,3061,3061
32910,30633,2277,2277
15500,16232,-732,732
50150,47972,2178,2178
,3642,,
941,6016,-5075,5075
17249,15672,1577,1577
20297,19121,1176,1176
706,3059,-2353,2353
13604,22625,-9021,9021
10036,12884,-2848,2848
15681,15481,200,200
21012,19894,1118,1118
18531,17773,758,758
941,1584,-643,643
17876,18620,-744,744
20698,10171,10527,10527
7213,8637,-1424,1424
5331,6136,-805,805
7056,6076,980,980
18817,18103,714,714
11917,9628,2289,2289
12858,8345,4513,4513
36197,42949,-6752,6752
36692,19756,16936,16936
15681,16061,-380,380
19130,18156,974,974
,17895,,
23834,29856,-6022,6022
11917,17167,-5250,5250
15132,14333,799,799
21012,15286,5726,5726
21953,22011,-58,58
47217,45110,2107,2107
784,4553,-3769,3769
16465,20261,-3796,3796
28225,17920,10305,10305
38251,47551,-9300,9300
13172,16928,-3756,3756
19130,29015,-9885,9885
5018,7050,-2032,2032
15500,11799,3701,3701
4234,2661,1573,1573
36065,69382,-33317,33317
16308,16045,263,263
14113,16088,-1975,1975
16543,14411,2132,2132
92070,61358,30712,30712
4000,10564,-6564,6564
16741,15939,802,802
314,1175,-861,861
34497,28792,5705,5705
10976,6967,4009,4009
9408,6907,2501,2501
,11675,,
2038,7155,-5117,5117
18826,17637,1189,1189
22580,12157,10423,10423
11917,17378,-5461,5461
36834,39683,-2849,2849
13485,20023,-6538,6538
16480,15683,797,797
,18284,,
11917,42713,-30796,30796
11917,8831,3086,3086
3136,5786,-2650,2650
13642,11466,2176,2176
2666,7907,-5241,5241
11400,12364,-964,964
32578,43838,-11260,11260
251,3212,-2961,2961
,40014,,
25089,15337,9752,9752
10976,15477,-4501,4501
1176,1816,-640,640
44247,43838,409,409
47,3839,-3792,3792
18817,17740,1077,1077
90,10595,-10505,10505
21410,16743,4667,4667
200,43861,-43661,43661
55845,54209,1636,1636
20005,18705,1300,1300
627,3457,-2830,2830
11604,9295,2309,2309
15681,9551,6130,6130
16960,18747,-1787,1787
18817,18031,786,786
38869,44388,-5519,5519
34497,36346,-1849,1849
45542,48276,-2734,2734
68994,66492,2502,2502
13328,7638,5690,5690
13702,9982,3720,3720
9252,7629,1623,1623
49864,19297,30567,30567
11177,16345,-5168,5168
2352,4071,-1719,1719
16778,18869,-2091,2091
13230,14193,-963,963
40456,46062,-5606,5606
15367,10720,4647,4647
40926,44441,-3515,3515
22843,23385,-542,542
,30768,,
220,11370,-11150,11150
35344,36092,-748,748
11259,17422,-6163,6163
2038,3695,-1657,1657
30734,23022,7712,7712
549,5537,-4988,4988
19416,18222,1194,1194
470,1759,-1289,1289
5488,4271,1217,1217
,53548,,
5331,5448,-117,117
,2004,,
44517,44768,-251,251
43278,34767,8511,8511
144261,95610,48651,48651
41886,47744,-5858,5858
16308,17130,-822,822
14113,12590,1523,1523
1254,5221,-3967,3967
470,1759,-1289,1289
20385,17468,2917,2917
16010,15730,280,280
36068,38063,-1995,1995
25591,23165,2426,2426
,7907,,
100,18006,-17906,17906
32929,29065,3864,3864
4547,5527,-980,980
470,6064,-5594,5594
627,3529,-2902,2902
4704,2574,2130,2130
7213,7734,-521,521
18817,9297,9520,9520
30,10967,-10937,10937
30,11576,-11546,11546
27654,20350,7304,7304
11290,21126,-9836,9836
60,10493,-10433,10433
1803,3541,-1738,1738
22580,19851,2729,2729
18817,13113,5704,5704
3763,11769,-8006,8006
20777,13096,7681,7681
25299,24187,1112,1112
40,8673,-8633,8633
20237,22691,-2454,2454
13172,17977,-4805,4805
2666,4714,-2048,2048
1019,8171,-7152,7152
7213,6259,954,954
7840,6158,1682,1682
21953,15535,6418,6418
6899,10386,-3487,3487
15053,16662,-1609,1609
282,349,-67,67
11604,11630,-26,26
13799,18946,-5147,5147
15367,11144,4223,4223
3763,3256,507,507
,52313,,
188,3389,-3201,3201
5968,5879,89,89
392,4021,-3629,3629
9408,15957,-6549,6549
7840,8602,-762,762
7213,7433,-220,220
784,2499,-1715,1715
54568,40767,13801,13801
15053,11365,3688,3688
7213,5682,1531,1531
3763,5180,-1417,1417
63663,38753,24910,24910
54000,29508,24492,24492
23138,20810,2328,2328
470,3719,-3249,3249
193184,43898,149286,149286
11604,10113,1491,1491
89379,99276,-9897,9897
10500,15732,-5232,5232
45473,24757,20716,20716
5645,3957,1688,1688
80651,88827,-8176,8176
7213,6337,876,876
,55430,,
10036,6021,4015,4015
627,2533,-1906,1906
6272,3768,2504,2504
5018,4583,435,435
23772,18750,5022,5022
16308,17516,-1208,1208
11133,8397,2736,2736
16465,16616,-151,151
7840,7260,580,580
14768,19850,-5082,5082
20237,23070,-2833,2833
13589,16622,-3033,3033
14953,16209,-1256,1256
9879,4090,5789,5789
163077,25960,137117,137117
314,1175,-861,861
18817,7464,11353,11353
7056,7694,-638,638
45445,39737,5708,5708
3293,3563,-270,270
706,13130,-12424,12424
5645,6491,-846,846
9408,8667,741,741
5331,5781,-450,450
9879,6200,3679,3679
58683,38356,20327,20327
40569,37305,3264,3264
41221,41987,-766,766
27193,11135,16058,16058
3763,3420,343,343
13172,9415,3757,3757
42337,31048,11289,11289
8467,9793,-1326,1326
20266,18090,2176,2176
14897,14847,50,50
6272,12228,-5956,5956
13297,13717,-420,420
,1955,,
5018,9455,-4437,4437
549,4886,-4337,4337
20071,18390,1681,1681
,5267,,
470,828,-358,358
2666,4543,-1877,1877
7840,6902,938,938
470,3395,-2925,2925
2744,4609,-1865,1865
784,16049,-15265,15265
7056,18854,-11798,11798
19757,20074,-317,317
47217,41670,5547,5547
16741,19125,-2384,2384
20266,20736,-470,470
3763,7079,-3316,3316
6429,6225,204,204
22580,23611,-1031,1031
3763,2481,1282,1282
1019,1417,-398,398
30,4105,-4075,4075
1882,2735,-853,853
9722,8311,1411,1411
2979,8424,-5445,5445
706,11509,-10803,10803
4704,2833,1871,1871
34497,32681,1816,1816
7840,11562,-3722,3722
12900,14392,-1492,1492
12858,16011,-3153,3153
10976,12738,-1762,1762
24327,22488,1839,1839
5645,6518,-873,873
,38415,,
549,3782,-3233,3233
21326,16549,4777,4777
21639,20641,998,998
6586,7739,-1153,1153
8154,9920,-1766,1766
3,3334,-3331,3331
9261,14269,-5008,5008
37633,30717,6916,6916
8151,9993,-1842,1842
7840,8009,-169,169
23521,26027,-2506,2506
6743,9809,-3066,3066
15994,16161,-167,167
13341,14644,-1303,1303
11917,15879,-3962,3962
39750,31738,8012,8012
1300,4027,-2727,2727
45473,32199,13274,13274
6586,7246,-660,660
6272,5017,1255,1255
392,11934,-11542,11542
549,3406,-2857,2857
13799,14198,-399,399
13172,13828,-656,656
470,3564,-3094,3094
16151,18500,-2349,2349
10036,17155,-7119,7119
7056,5391,1665,1665
10506,9554,952,952
16546,20000,-3454,3454
16621,8767,7854,7854
17249,11163,6086,6086
,2735,,
4700,5643,-943,943
13172,17517,-4345,4345
21796,23039,-1243,1243
706,1520,-814,814
470,2704,-2234,2234
16308,14165,2143,2143
44878,47926,-3048,3048
34108,33671,437,437
29166,25238,3928,3928
8624,12446,-3822,3822
5488,3637,1851,1851
20385,18571,1814,1814
13172,17355,-4183,4183
19757,18043,1714,1714
1019,6773,-5754,5754
125,2431,-2306,2306
52373,42980,9393,9393
15994,6031,9963,9963
1019,2743,-1724,1724
8154,6408,1746,1746
15053,21362,-6309,6309
18826,18680,146,146
14834,15274,-440,440
30,6829,-6799,6799
11290,8237,3053,3053
9408,4085,5323,5323
42692,41422,1270,1270
9565,8978,587,587
21363,20038,1325,1325
19121,18379,742,742
7213,9304,-2091,2091
549,3538,-2989,2989
2038,3695,-1657,1657
862,3401,-2539,2539
16618,18510,-1892,1892
3763,2492,1271,1271
706,1367,-661,661
1254,4883,-3629,3629
10663,8108,2555,2555
18531,15962,2569,2569
5018,5688,-670,670
10349,13845,-3496,3496
549,6560,-6011,6011
7840,12119,-4279,4279
14113,16453,-2340,2340
36692,6512,30180,30180
282,1501,-1219,1219
14113,25647,-11534,11534
18189,20651,-2462,2462
8781,8304,477,477
17876,13601,4275,4275
31361,22631,8730,8730
862,2776,-1914,1914
14426,19970,-5544,5544
2038,3625,-1587,1587
47669,16927,30742,30742
19707,29580,-9873,9873
10976,13979,-3003,3003
80,11214,-11134,11134
11290,8157,3133,3133
23521,50658,-27137,27137
7840,39477,-31637,31637
21953,13102,8851,8851
5488,3637,1851,1851
18817,13135,5682,5682
4861,4876,-15,15
22580,19851,2729,2729
12544,31565,-19021,19021
6500,6253,247,247
470,1895,-1425,1425
392,4394,-4002,4002
26657,37858,-11201,11201
21953,19405,2548,2548
26657,22574,4083,4083
4547,5527,-980,980
36065,19699,16366,16366
18503,15622,2881,2881
4077,1565,2512,2512
35438,34095,1343,1343
,6580,,
71817,63307,8510,8510
470,9683,-9213,9213
7213,5386,1827,1827
22580,19074,3506,3506
,1412,,
15323,20288,-4965,4965
18817,16168,2649,2649
16894,18748,-1854,1854
28225,34037,-5812,5812
17249,19306,-2057,2057
282,1174,-892,892
17249,27010,-9761,9761
17249,11694,5555,5555
48998,44154,4844,4844
12544,12703,-159,159
20385,7566,12819,12819
3607,3143,464,464
862,2776,-1914,1914
9408,15295,-5887,5887
549,4102,-3553,3553
22580,16865,5715,5715
8781,6382,2399,2399
157,3053,-2896,2896
,58543,,
19930,34232,-14302,14302
627,3417,-2790,2790
26500,27785,-1285,1285
10976,18062,-7086,7086
314,3006,-2692,2692
627,4675,-4048,4048
,5510,,
10663,10753,-90,90
14113,13694,419,419
16935,18927,-1992,1992
85702,33581,52121,52121
,4382,,
4500,10819,-6319,6319
5645,6959,-1314,1314
14897,23870,-8973,8973
54346,29997,24349,24349
7213,10712,-3499,3499
3607,2525,1082,1082
6899,7289,-390,390
37633,27974,9659,9659
11760,9613,2147,2147
37320,47539,-10219,10219
23521,43617,-20096,20096
13877,17483,-3606,3606
706,4435,-3729,3729
314,4516,-4202,4202
8154,4640,3514,3514
,7698,,
12231,10077,2154,2154
11917,11194,723,723
3293,5179,-1886,1886
94,3315,-3221,3221
9408,8020,1388,1388
22580,29663,-7083,7083
12544,9428,3116,3116
14113,11993,2120,2120
67903,67061,842,842
11000,4301,6699,6699
188,2579,-2391,2391
61154,60374,780,780
10663,5818,4845,4845
24709,21579,3130,3130
13093,11250,1843,1843
7997,6771,1226,1226
11604,14789,-3185,3185
11447,20362,-8915,8915
18189,6936,11253,11253
627,4125,-3498,3498
19130,9709,9421,9421
6272,6150,122,122
1400,3138,-1738,1738
20071,16104,3967,3967
18189,15812,2377,2377
1803,1110,693,693
251,10641,-10390,10390
28852,20199,8653,8653
46022,39737,6285,6285
37633,33585,4048,4048
57526,33205,24321,24321
17484,15583,1901,1901
157,2678,-2521,2521
188,4148,-3960,3960
29793,23073,6720,6720
4704,6792,-2088,2088
19416,18222,1194,1194
23101,23209,-108,108
81539,60590,20949,20949
157,3053,-2896,2896
941,7609,-6668,6668
15681,17234,-1553,1553
12980,16239,-3259,3259
22934,23902,-968,968
627,1766,-1139,1139
17876,17059,817,817
7213,14058,-6845,6845
4861,8087,-3226,3226
16308,35185,-18877,18877
,12133,,
25089,26231,-1142,1142
6398,9189,-2791,2791
1019,2815,-1796,1796
6899,11114,-4215,4215
20005,18039,1966,1966
7213,7489,-276,276
17249,20327,-3078,3078
14834,14714,120,120
52059,31517,20542,20542
26030,29385,-3355,3355
17405,18982,-1577,1577
9408,9127,281,281
15994,3091,12903,12903
37633,80182,-42549,42549
7056,6424,632,632
9408,4465,4943,4943
470,2800,-2330,2330
10663,11173,-510,510
1490,13162,-11672,11672
10820,10411,409,409
14113,13591,522,522
3293,4434,-1141,1141
32929,34544,-1615,1615
18189,22365,-4176,4176
11133,12260,-1127,1127
1725,2648,-923,923
49889,41377,8512,8512
7840,7658,182,182
16900,18733,-1833,1833
1000,3211,-2211,2211
13485,12883,602,602
7683,5850,1833,1833
44134,38192,5942,5942
31,991,-960,960
,9874,,
21953,23128,-1175,1175
,17562,,
43655,40867,2788,2788
,12689,,
17264,10476,6788,6788
24920,22920,2000,2000
54568,40767,13801,13801
110,19147,-19037,19037
2352,3308,-956,956
392,4523,-4131,4131
1333,1534,-201,201
29793,23073,6720,6720
1725,6415,-4690,4690
6272,3066,3206,3206
14113,6232,7881,7881
4391,4476,-85,85
10976,8464,2512,2512
18660,15837,2823,2823
7527,8007,-480,480
20385,21653,-1268,1268
51965,46680,5285,5285
549,6399,-5850,5850
17249,19152,-1903,1903
,18111,,
18817,17740,1077,1077
,9786,,
25089,19987,5102,5102
37006,25325,11681,11681
16621,15603,1018,1018
21953,10656,11297,11297
35438,36289,-851,851
41710,31110,10600,10600
1646,5093,-3447,3447
30,1698,-1668,1668
11967,18235,-6268,6268
4861,3575,1286,1286
314,19343,-19029,19029
,61787,,
12544,10047,2497,2497
14113,29950,-15837,15837
24462,18797,5665,5665
54882,37442,17440,17440
27598,33804,-6206,6206
1700,3407,-1707,1707
13178,14463,-1285,1285
627,4345,-3718,3718
8154,6762,1392,1392
8311,8858,-547,547
2666,3084,-418,418
30,4105,-4075,4075
21953,17075,4878,4878
5018,4716,302,302
12701,15670,-2969,2969
11133,4528,6605,6605
16308,8342,7966,7966
38000,31444,6556,6556
19444,16665,2779,2779
20071,14955,5116,5116
14113,9866,4247,4247
7840,6406,1434,1434
48277,47960,317,317
392,1499,-1107,1107
50178,51809,-1631,1631
8938,16749,-7811,7811
8624,6831,1793,1793
21326,16591,4735,4735
9832,6399,3433,3433
39829,34964,4865,4865
16308,19532,-3224,3224
,23163,,
18817,18324,493,493
,17481,,
19707,18654,1053,1053
15681,19884,-4203,4203
4858,5843,-985,985
19757,29828,-10071,10071
141124,127633,13491,13491
46728,38809,7919,7919
13485,14790,-1305,1305
16935,11103,5832,5832
8781,8633,148,148
12858,40767,-27909,27909
7527,19822,-12295,12295
392,1499,-1107,1107
8781,6496,2285,2285
1019,5117,-4098,4098
157,6685,-6528,6528
36065,31873,4192,4192
14426,8471,5955,5955
314,3628,-3314,3314
45,17113,-17068,17068
30734,17475,13259,13259
627,6616,-5989,5989
6272,6863,-591,591
5331,6046,-715,715
7840,9701,-1861,1861
14069,10798,3271,3271
9095,13682,-4587,4587
21953,17606,4347,4347
36065,33949,2116,2116
549,5308,-4759,4759
,3786,,
21953,17560,4393,4393
6586,3597,2989,2989
20385,12941,7444,7444
12554,14975,-2421,2421
,2872,,
25638,20592,5046,5046
19933,18106,1827,1827
23834,7270,16564,16564
,5912,,
9408,15581,-6173,6173
13799,14298,-499,499
314,1175,-861,861
20385,18856,1529,1529
941,3394,-2453,2453
14884,22758,-7874,7874
1098,1941,-843,843
10036,22124,-12088,12088
5959,5794,165,165
470,1280,-810,810
392,2799,-2407,2407
16308,14668,1640,1640
28532,23459,5073,5073
14113,18754,-4641,4641
54847,49233,5614,5614
784,1519,-735,735
627,4125,-3498,3498
12231,14864,-2633,2633
67934,60618,7316,7316
32913,19273,13640,13640
27284,23212,4072,4072
18669,17608,1061,1061
27598,22428,5170,5170
6586,8025,-1439,1439
16621,13795,2826,2826
11917,10634,1283,1283
15994,6031,9963,9963
18503,12082,6421,6421
31421,40651,-9230,9230
3763,3611,152,152
40142,35185,4957,4957
26591,24486,2105,2105
7213,9758,-2545,2545
16308,20732,-4424,4424
3450,4241,-791,791
28927,23439,5488,5488
6743,6465,278,278
43062,41720,1342,1342
8467,8995,-528,528
29793,5222,24571,24571
11290,3470,7820,7820
6743,5096,1647,1647
15681,16870,-1189,1189
30734,24948,5786,5786
19757,20593,-836,836
7527,11120,-3593,3593
16935,4510,12425,12425
76835,96048,-19213,19213
52059,51719,340,340
784,3637,-2853,2853
3136,2724,412,412
1000,102506,-101506,101506
19130,18570,560,560
706,1438,-732,732
1646,3861,-2215,2215
5018,2341,2677,2677
15053,15714,-661,661
11886,18413,-6527,6527
18660,18343,317,317
18817,30782,-11965,11965
,4886,,
470,1986,-1516,1516
,10772,,
1019,3297,-2278,2278
31361,22724,8637,8637
43905,47617,-3712,3712
38016,42409,-4393,4393
,17452,,
20237,17611,2626,2626
5018,4451,567,567
23521,32801,-9280,9280
12858,15798,-2940,2940
40769,33816,6953,6953
17249,15249,2000,2000
16308,16006,302,302
549,4886,-4337,4337
27065,23603,3462,3462
12544,17723,-5179,5179
862,2776,-1914,1914
2274,5639,-3365,3365
19613,23658,-4045,4045
21103,22824,-1721,1721
,46147,,
4077,6050,-1973,1973
14454,16127,-1673,1673
9722,9601,121,121
18503,14772,3731,3731
54568,40767,13801,13801
282,2070,-1788,1788
9722,13367,-3645,3645
19089,18428,661,661
862,4123,-3261,3261
19444,14356,5088,5088
26296,17810,8486,8486
39201,32513,6688,6688
7527,11142,-3615,3615
25,2859,-2834,2834
21012,18392,2620,2620
78403,86157,-7754,7754
19757,18776,981,981
12544,10168,2376,2376
8000,7755,245,245
9408,10627,-1219,1219
7213,10910,-3697,3697
17249,22555,-5306,5306
28225,35020,-6795,6795
706,2780,-2074,2074
706,9476,-8770,8770
10192,8939,1253,1253
26657,5564,21093,21093
12701,4843,7858,7858
17562,13927,3635,3635
14737,16320,-1583,1583
15053,21834,-6781,6781
67690,58122,9568,9568
32302,18926,13376,13376
6272,5590,682,682
42965,7457,35508,35508
11604,20785,-9181,9181
,14447,,
9408,15562,-6154,6154
10976,10167,809,809
11917,7774,4143,4143
19757,16722,3035,3035
34497,36346,-1849,1849
47217,45597,1620,1620
18817,27224,-8407,8407
10036,8907,1129,1129
12544,15032,-2488,2488
3450,2212,1238,1238
16900,18193,-1293,1293
3763,7297,-3534,3534
42337,34570,7767,7767
12544,16875,-4331,4331
2666,7907,-5241,5241
70562,5999,64563,64563
3136,3085,51,51
36899,40755,-3856,3856
47217,43582,3635,3635
27356,21604,5752,5752
3293,7047,-3754,3754
157,4292,-4135,4135
14831,24661,-9830,9830
15053,17153,-2100,2100
15988,10499,5489,5489
12544,10252,2292,2292
44134,35797,8337,8337
17562,16513,1049,1049
119009,59343,59666,59666
470,2638,-2168,2168
5959,6793,-834,834
21012,21301,-289,289
3058,13927,-10869,10869
11760,19500,-7740,7740
45,20897,-20852,20852
28225,17143,11082,11082
7527,5883,1644,1644
10000,10634,-634,634
9408,10179,-771,771
941,4285,-3344,3344
7997,8300,-303,303
27654,21656,5998,5998
1568,6868,-5300,5300
,34399,,
4861,4309,552,552
9095,4345,4750,4750
64290,22306,41984,41984
11604,14617,-3013,3013
30906,19982,10924,10924
